p,influenced,weight
http://dbpedia.org/resource/John_McDowell,http://dbpedia.org/resource/Miranda_Fricker,1
http://dbpedia.org/resource/John_McDowell,http://dbpedia.org/resource/Alice_Crary,1
http://dbpedia.org/resource/John_McDowell,http://dbpedia.org/resource/Robert_Brandom,1
http://dbpedia.org/resource/John_Watson_(philosopher),http://dbpedia.org/resource/Salem_Bland,1
http://dbpedia.org/resource/José_Carlos_Mariátegui,http://dbpedia.org/resource/Abimael_Guzmán,1
http://dbpedia.org/resource/José_Carlos_Mariátegui,http://dbpedia.org/resource/Javier_Mariátegui,1
http://dbpedia.org/resource/José_Carlos_Mariátegui,http://dbpedia.org/resource/Gustavo_Gutiérrez,1
http://dbpedia.org/resource/José_Carlos_Mariátegui,http://dbpedia.org/resource/Che_Guevara,1
http://dbpedia.org/resource/Jyotirao_Phule,http://dbpedia.org/resource/B._R._Ambedkar,1
http://dbpedia.org/resource/Kabir,http://dbpedia.org/resource/Rabindranath_Tagore,1
http://dbpedia.org/resource/Kabir,http://dbpedia.org/resource/Sikhism,1
http://dbpedia.org/resource/Omar_Khayyam,http://dbpedia.org/resource/Al-Khazini,1
http://dbpedia.org/resource/Omar_Khayyam,http://dbpedia.org/resource/John_Wallis,1
http://dbpedia.org/resource/Omar_Khayyam,http://dbpedia.org/resource/Nizami_Aruzi,1
http://dbpedia.org/resource/Omar_Khayyam,http://dbpedia.org/resource/Nasir_al-Din_al-Tusi,1
http://dbpedia.org/resource/Omar_Khayyam,http://dbpedia.org/resource/Giovanni_Girolamo_Saccheri,1
http://dbpedia.org/resource/Omar_Khayyam,http://dbpedia.org/resource/Edward_FitzGerald_(poet),1
http://dbpedia.org/resource/Sarmad_Kashani,http://dbpedia.org/resource/Abul_Kalam_Azad,1
http://dbpedia.org/resource/Sarmad_Kashani,http://dbpedia.org/resource/Dara_Shikoh,1
http://dbpedia.org/resource/Walter_Kaufmann_(philosopher),http://dbpedia.org/resource/Richard_Schacht,1
http://dbpedia.org/resource/Walter_Kaufmann_(philosopher),http://dbpedia.org/resource/Ivan_Soll,1
http://dbpedia.org/resource/Walter_Kaufmann_(philosopher),http://dbpedia.org/resource/Frithjof_Bergmann,1
http://dbpedia.org/resource/Walter_Kaufmann_(philosopher),http://dbpedia.org/resource/Alexander_Nehamas,1
http://dbpedia.org/resource/Christian_Jakob_Kraus,http://dbpedia.org/resource/Jakob_Sigismund_Beck,1
http://dbpedia.org/resource/Christian_Jakob_Kraus,http://dbpedia.org/resource/Wilhelm_von_Humboldt,1
http://dbpedia.org/resource/Claude_Lefort,http://dbpedia.org/resource/Marcel_Gauchet,1
http://dbpedia.org/resource/Claude_Lefort,http://dbpedia.org/resource/Miguel_Abensour,1
http://dbpedia.org/resource/Claude_Lefort,http://dbpedia.org/resource/Daniel_Cohn-Bendit,1
http://dbpedia.org/resource/Emil_Lask,http://dbpedia.org/resource/Eugen_Herrigel,1
http://dbpedia.org/resource/Emil_Lask,http://dbpedia.org/resource/György_Lukács,1
http://dbpedia.org/resource/Emil_Lask,http://dbpedia.org/resource/Lucien_Goldmann,1
http://dbpedia.org/resource/Emil_Lask,http://dbpedia.org/resource/Martin_Heidegger,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Enrique_Dussel,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Paul_Ricœur,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Bernard-Henri_Lévy,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Zygmunt_Bauman,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Maurice_Blanchot,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Jacques_Derrida,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Simon_Critchley,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Benny_Lévy,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Avital_Ronell,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Alain_Finkielkraut,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Jean-Luc_Marion,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Giorgio_Agamben,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Robert_Bernasconi,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Hilary_Putnam,1
http://dbpedia.org/resource/Emmanuel_Levinas,http://dbpedia.org/resource/Judith_Butler,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Kurt_Gödel,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Walter_Rauschenbusch,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Wilhelm_Wundt,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/George_Berkeley,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/George_Boole,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Maurice_Blondel,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Ernst_Platner,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/David_Hume,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Bertrand_Russell,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Voltaire,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Joseph-Louis_Lagrange,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Leonhard_Euler,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Gottlob_Frege,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/John_Henry_Newman,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Immanuel_Kant,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Jean-Jacques_Rousseau,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Norbert_Wiener,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Benoit_Mandelbrot,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Bernhard_Riemann,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Carl_Friedrich_Gauss,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Edward_Gibbon,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Martin_Heidegger,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Alfred_Tarski,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Charles_Sanders_Peirce,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Christian_Wolff_(philosopher),1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Gilles_Deleuze,1
http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz,http://dbpedia.org/resource/Nicholas_Rescher,1
http://dbpedia.org/resource/Henri_Lefebvre,http://dbpedia.org/resource/Fredric_Jameson,1
http://dbpedia.org/resource/Henri_Lefebvre,http://dbpedia.org/resource/Mark_Poster,1
http://dbpedia.org/resource/Henri_Lefebvre,http://dbpedia.org/resource/Neil_Smith_(geographer),1
http://dbpedia.org/resource/Henri_Lefebvre,http://dbpedia.org/resource/Raoul_Vaneigem,1
http://dbpedia.org/resource/Henri_Lefebvre,http://dbpedia.org/resource/Michel_de_Certeau,1
http://dbpedia.org/resource/Henri_Lefebvre,http://dbpedia.org/resource/David_Harvey,1
http://dbpedia.org/resource/Henri_Lefebvre,http://dbpedia.org/resource/Jean-Paul_Sartre,1
http://dbpedia.org/resource/Henri_Lefebvre,http://dbpedia.org/resource/Jean_Baudrillard,1
http://dbpedia.org/resource/Henri_Lefebvre,http://dbpedia.org/resource/Edward_Soja,1
http://dbpedia.org/resource/Henri_Lefebvre,http://dbpedia.org/resource/Situationist_International,1
http://dbpedia.org/resource/Henri_Lefebvre,http://dbpedia.org/resource/Guy_Debord,1
http://dbpedia.org/resource/Karl_Christian_Friedrich_Krause,http://dbpedia.org/resource/Arthur_Schopenhauer,1
http://dbpedia.org/resource/Karl_Christian_Friedrich_Krause,http://dbpedia.org/resource/Francisco_Giner_de_los_Ríos,1
http://dbpedia.org/resource/Karl_Christian_Friedrich_Krause,http://dbpedia.org/resource/Hipólito_Yrigoyen,1
http://dbpedia.org/resource/Karl_Christian_Friedrich_Krause,http://dbpedia.org/resource/Julián_Sanz_del_Rio,1
http://dbpedia.org/resource/Karl_Korsch,http://dbpedia.org/resource/Douglas_Kellner,1
http://dbpedia.org/resource/Karl_Korsch,http://dbpedia.org/resource/C._L._R._James,1
http://dbpedia.org/resource/Karl_Korsch,http://dbpedia.org/resource/New_Left,1
http://dbpedia.org/resource/Karl_Korsch,http://dbpedia.org/resource/Bertolt_Brecht,1
http://dbpedia.org/resource/Karl_Korsch,http://dbpedia.org/resource/Felix_Weil,1
http://dbpedia.org/resource/Karl_Korsch,http://dbpedia.org/resource/Frankfurt_School,1
http://dbpedia.org/resource/Krishna_Chandra_Bhattacharya,http://dbpedia.org/resource/Debiprasad_Chattopadhyaya,1
http://dbpedia.org/resource/Kurt_Koffka,http://dbpedia.org/resource/Kurt_Lewin,1
http://dbpedia.org/resource/Kurt_Koffka,http://dbpedia.org/resource/Maurice_Merleau-Ponty,1
http://dbpedia.org/resource/Kurt_Koffka,http://dbpedia.org/resource/Lev_Vygotsky,1
http://dbpedia.org/resource/Laozi,http://dbpedia.org/resource/Niels_Bohr,1
http://dbpedia.org/resource/Laozi,http://dbpedia.org/resource/Xuanxue,1
http://dbpedia.org/resource/Laozi,http://dbpedia.org/resource/Alan_Watts,1
http://dbpedia.org/resource/Laozi,http://dbpedia.org/resource/Lie_Yukou,1
http://dbpedia.org/resource/Laozi,http://dbpedia.org/resource/Martin_Heidegger,1
http://dbpedia.org/resource/Laozi,http://dbpedia.org/resource/Eastern_philosophy,1
http://dbpedia.org/resource/Laozi,http://dbpedia.org/resource/Chinese_Buddhism,1
http://dbpedia.org/resource/Laozi,http://dbpedia.org/resource/Taoism,1
http://dbpedia.org/resource/Laozi,http://dbpedia.org/resource/Zen,1
http://dbpedia.org/resource/Laozi,http://dbpedia.org/resource/Zhuang_Zhou,1
http://dbpedia.org/resource/Laozi,http://dbpedia.org/resource/Carl_Jung,1
http://dbpedia.org/resource/Leszek_Kołakowski,http://dbpedia.org/resource/Christopher_Hitchens,1
http://dbpedia.org/resource/Leszek_Kołakowski,http://dbpedia.org/resource/Noam_Chomsky,1
http://dbpedia.org/resource/Leszek_Kołakowski,http://dbpedia.org/resource/Solidarity_(Polish_trade_union),1
http://dbpedia.org/resource/Leszek_Kołakowski,http://dbpedia.org/resource/José_Guilherme_Merquior,1
http://dbpedia.org/resource/Louis_Lavelle,http://dbpedia.org/resource/Paul_Ricœur,1
http://dbpedia.org/resource/Louis_Lavelle,http://dbpedia.org/resource/Alfredo_Bosi,1
http://dbpedia.org/resource/Louis_Lavelle,http://dbpedia.org/resource/Nikolai_Berdyaev,1
