Philosopher A,Philosopher B,Weight
Thomas_Kuhn,Philip_Kitcher,1
Thomas_Kuhn,Martin_Cohen_(philosopher),1
Thomas_Kuhn,Paul_Feyerabend,1
Thomas_Kuhn,Imre_Lakatos,1
Wolfgang_Köhler,Karl_Popper,1
Franz_Rosenzweig,Emmanuel_Levinas,1
Franz_Rosenzweig,Eric_Santner,1
Franz_Rosenzweig,Emil_Fackenheim,1
Franz_Rosenzweig,Walter_Benjamin,1
Franz_Rosenzweig,Martin_Buber,1
Franz_Rosenzweig,Jacques_Derrida,1
Franz_Rosenzweig,Nahum_Norbert_Glatzer,1
Franz_Rosenzweig,Leo_Strauss,1
Franz_Rosenzweig,Irad_Kimhi,1
Gregory_of_Rimini,Antipope_Alexander_V,1
Gregory_of_Rimini,Pierre_d'Ailly,1
Gregory_of_Rimini,Marsilius_of_Inghen,1
Gregory_of_Rimini,Hugolino_of_Orvieto,1
Gregory_of_Rimini,Martin_Luther,1
Gregory_of_Rimini,Peter_Ceffons,1
Gregory_of_Rimini,Henry_of_Langenstein,1
Gregory_of_Rimini,James_of_Eltville,1
Helena_Roerich,Yuli_Vorontsov,1
Helena_Roerich,Alexey_Okladnikov,1
Helena_Roerich,Ivan_Yefremov,1
Helena_Roerich,Lyudmila_Zhivkova,1
Helena_Roerich,A._L._Janshin,1
Karl_Leonhard_Reinhold,Jakob_Friedrich_Fries,1
Karl_Leonhard_Reinhold,August_Ludwig_Hülsen,1
Karl_Leonhard_Reinhold,Salomon_Maimon,1
Karl_Leonhard_Reinhold,Friedrich_Schiller,1
Karl_Leonhard_Reinhold,Johann_Gottlieb_Fichte,1
Karl_Leonhard_Reinhold,Friedrich_Adolf_Trendelenburg,1
Karl_Rahner,Francis_A._Sullivan,1
Karl_Rahner,Catherine_LaCugna,1
Karl_Rahner,Tomáš_Halík,1
Karl_Rahner,Herbert_Vorgrimler,1
Karl_Rahner,Johann_Baptist_Metz,1
Karl_Rahner,Jon_Sobrino,1
Karl_Rahner,Kathryn_Tanner,1
Peter_Rollins,Jay_Bakker,1
Peter_Rollins,Emerging_church,1
Peter_Rollins,Brian_McLaren,1
Peter_Rollins,Phyllis_Tickle,1
Peter_Rollins,Rob_Bell,1
Petrus_Ramus,Jean_Bodin,1
Ralph_Cudworth,"Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury",1
Ralph_Cudworth,Damaris_Cudworth_Masham,1
Ralph_Waldo_Emerson,John_Muir,1
Ralph_Waldo_Emerson,Karl_Marx,1
Ralph_Waldo_Emerson,William_James,1
Ralph_Waldo_Emerson,Friedrich_Nietzsche,1
Ralph_Waldo_Emerson,Walt_Whitman,1
Ralph_Waldo_Emerson,Sigmund_Freud,1
Ralph_Waldo_Emerson,Henry_David_Thoreau,1
Ralph_Waldo_Emerson,Harold_Bloom,1
Raymond_Williams,Terry_Eagleton,1
Renzo_Novatore,Bruno_Filippi,1
Renzo_Novatore,Antonio_Gramsci,1
Renzo_Novatore,Severino_Di_Giovanni,1
René_Guénon,Algis_Uždavinys,1
René_Guénon,Jacob_Needleman,1
René_Guénon,Wolfgang_Smith,1
René_Guénon,Michel_Valsan,1
René_Guénon,Jean_Borella,1
René_Guénon,Wendell_Berry,1
René_Guénon,Joseph_Epes_Brown,1
René_Guénon,Boris_Mouravieff,1
René_Guénon,Seyyed_Hossein_Nasr,1
René_Guénon,Arturo_Reghini,1
René_Guénon,Whitall_Perry,1
René_Guénon,Alain_de_Benoist,1
René_Guénon,Huston_Smith,1
René_Guénon,Harry_Oldmeadow,1
René_Guénon,Ananda_Coomaraswamy,1
René_Guénon,Valentin_Tomberg,1
René_Guénon,Seraphim_Rose,1
René_Guénon,Gary_Snyder,1
René_Guénon,Bernard_Philip_Kelly,1
René_Guénon,Ali_Lakhani,1
René_Guénon,Hans_Thomas_Hakl,1
René_Guénon,Dominique_Venner,1
René_Guénon,Dragoš_Kalajić,1
René_Guénon,Francis_Parker_Yockey,1
René_Guénon,Hamza_Yusuf,1
René_Guénon,Julius_Evola,1
René_Guénon,Jean_Hani,1
René_Guénon,Philip_Sherrard,1
René_Guénon,Ramón_Mujica_Pinilla,1
René_Guénon,Richard_Smoley,1
René_Guénon,James_Cutsinger,1
Richard_Rorty,John_McDowell,1
Richard_Rorty,Laurence_BonJour,1
Richard_Rorty,Michael_Williams_(philosopher),1
Richard_Rorty,Jeffrey_Stout,1
Richard_Rorty,Gianni_Vattimo,1
Richard_Rorty,Cornel_West,1
Richard_Rorty,Robert_Brandom,1
Richard_Rorty,Richard_Posner,1
Richard_Taylor_(philosopher),David_Foster_Wallace,1
Rigas_Feraios,Greek_War_of_Independence,1
Robert_Anton_Wilson,Peter_Lamborn_Wilson,1
Robert_Anton_Wilson,Alan_Moore,1
Robert_Filmer,John_Locke,1
Robert_Filmer,James_Tyrrell_(writer),1
Robert_Filmer,Algernon_Sidney,1
Roderick_Chisholm,Keith_Lehrer,1
Roderick_Chisholm,Richard_Taylor_(philosopher),1
Roderick_Chisholm,Ernest_Sosa,1
Roderick_Chisholm,Fred_Feldman_(philosopher),1
Roderick_Chisholm,Jaegwon_Kim,1
Roderick_Chisholm,Peter_D._Klein,1
Roderick_Chisholm,Edmund_Gettier,1
Roderick_Chisholm,Dale_Jacquette,1
Roderick_Chisholm,Selmer_Bringsjord,1
